,date,date_week,type,medical,name,address,tel,time
0,2024-03-20,2024年3月20日 祝日,救急,指定なし,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,08:30～翌日08:30
1,2024-03-21,2024年3月21日 木曜日,救急,指定なし,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,08:30～翌日08:30
2,2024-03-22,2024年3月22日 金曜日,救急,指定なし,木原病院,今治市別宮町３－７－８,0898-23-0634,08:30～翌日08:30
3,2024-03-23,2024年3月23日 土曜日,救急,指定なし,白石病院,今治市松本町１－５－９,0898-32-4135,08:30～17:30
4,2024-03-23,2024年3月23日 土曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,17:30～翌日08:30
5,2024-03-24,2024年3月24日 日曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,08:30～翌日08:30
6,2024-03-24,2024年3月24日 日曜日,内科,内科,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,09:00～17:30
7,2024-03-24,2024年3月24日 日曜日,小児科,小児科,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,09:00～17:00
8,2024-03-24,2024年3月24日 日曜日,島しょ部,指定なし,大三島中央病院,今治市大三島町宮浦５３１８－１,0897-82-1111,09:00～17:00
9,2024-03-25,2024年3月25日 月曜日,救急,指定なし,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,08:30～翌日08:30
10,2024-03-26,2024年3月26日 火曜日,救急,指定なし,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,08:30～翌日08:30
11,2024-03-27,2024年3月27日 水曜日,救急,指定なし,県立今治病院,今治市石井町４－５－５,0898-32-7111,08:30～翌日08:30
12,2024-03-28,2024年3月28日 木曜日,救急,指定なし,白石病院,今治市松本町１－５－９,0898-32-4135,08:30～翌日08:30
13,2024-03-29,2024年3月29日 金曜日,救急,指定なし,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,08:30～翌日08:30
14,2024-03-30,2024年3月30日 土曜日,救急,指定なし,木原病院,今治市別宮町３－７－８,0898-23-0634,08:30～17:30
15,2024-03-30,2024年3月30日 土曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,17:30～翌日08:30
16,2024-03-31,2024年3月31日 日曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,08:30～翌日08:30
17,2024-03-31,2024年3月31日 日曜日,小児科,小児科,みぶ小児科,今治市北宝来町三丁目１番２７号,0898-23-7525,09:00～17:00
18,2024-03-31,2024年3月31日 日曜日,島しょ部,指定なし,斎藤クリニック,今治市吉海町仁江１６番地２号,,09:00～17:00
19,2024-04-01,2024年4月1日 月曜日,救急,指定なし,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,08:30～翌日08:30
20,2024-04-02,2024年4月2日 火曜日,救急,指定なし,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,08:30～翌日08:30
21,2024-04-03,2024年4月3日 水曜日,救急,指定なし,県立今治病院,今治市石井町４－５－５,0898-32-7111,08:30～翌日08:30
22,2024-04-04,2024年4月4日 木曜日,救急,指定なし,白石病院,今治市松本町１－５－９,0898-32-4135,08:30～翌日08:30
23,2024-04-05,2024年4月5日 金曜日,救急,指定なし,木原病院,今治市別宮町３－７－８,0898-23-0634,08:30～翌日08:30
24,2024-04-06,2024年4月6日 土曜日,救急,指定なし,白石病院,今治市松本町１－５－９,0898-32-4135,08:30～17:30
25,2024-04-06,2024年4月6日 土曜日,救急,指定なし,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,17:30～翌日08:30
