ID,医療機関番号,名称,オープンデータ,四国厚生支局,国土数値情報,住所,電話番号,FAX番号,緯度,経度
3811385500190,02-1801-0,正光会今治病院,公益財団法人正光会今治病院,公益財団法人正光会　今治病院,財団法人正光会　今治病院,今治市高市甲786-13,0898-48-2560,0898-48-2589,34.0267696,133.0142105
3811385500350,02-2808-4,今治市医師会市民病院,一般社団法人　今治市医師会　今治市医師会市民病院,今治市医師会市民病院,今治市医師会市民病院,今治市別宮町7-1-40,0898-22-7611,0898-22-0130,34.07413628,132.9920659
3811385500480,02-2804-3,白石病院,医療法人　慈風会　白石病院,医療法人　慈風会　白石病院,白石病院,今治市松本町1-5-9,0898-32-4135,0898-23-1409,34.06537861,133.0007964
3811385500640,02-2809-2,今治第一病院,社会医療法人真泉会　今治第一病院,今治第一病院,今治第一病院,今治市宮下町1-1-21,0898-23-2000,0898-22-8273,34.06632913,132.9898123
3811385500770,02-2820-9,三木病院,三木病院,三木病院,三木病院,今治市泉川町1-3-45,0898-32-4680,0898-23-0447,34.05681557,132.9946549
3811385500930,02-2821-7,きら病院,医療法人勤有会きら病院,きら病院,きら病院,今治市北宝来町1-3-5,0898-31-5711,0898-24-2526,34.06418174,132.9958273
3811385501360,02-2817-5,放射線第一病院,放射線第一病院,放射線第一病院,放射線第一病院,今治市北日吉町1-10-50,0898-23-3358,0898-23-8868,34.06508464,132.9906196
3811385501520,02-2818-3,美須賀病院,医療法人　朝陽会　美須賀病院,美須賀病院,美須賀病院,今治市黄金町3-4-8,0898-32-1212,0898-33-4433,34.06152896,133.0057007
3811385501810,02-1057-9,菅病院,医療法人圭泉会菅病院,医療法人　圭泉会　菅病院,医療法人圭泉会　菅病院,今治市南日吉町2-3-21,0898-32-5092,0898-31-9890,34.05599383,132.9922413
3811385502240,02-2816-7,吉野病院,医療法人滴水会吉野病院,医療法人　滴水会　吉野病院,医療法人滴水会吉野病院,今治市末広町1-5-5,0898-32-0323,0898-32-0262,34.06496347,133.0025827
3811385502400,02-2810-0,木原病院,木原病院,木原病院,木原病院,今治市別宮町3-7-8,0898-23-0634,0898-32-3762,34.06926707,132.9947306
